symbol,name,sector,bse_security_code,bse_industry
AARTIDRUGS.BO,Aarti Drugs Limited,Healthcare,524348,Healthcare
CAPPL.BO,Caplin Point Laboratories Limited,Healthcare,524742,Healthcare
HIKAL.BO,Hikal Limited,Healthcare,524735,Healthcare
NTPC.BO,NTPC Limited,Utilities,532555,Power
POWERGRID.BO,Power Grid Corporation of India Limited,Utilities,532898,Power
ADANIGREEN.BO,Adani Green Energy Limited,Utilities,541450,Power
ADANIPOWER.BO,Adani Power Limited,Utilities,533096,Power
GAIL.BO,GAIL (India) Limited,Utilities,532155,"Oil, Gas & Consumable Fuels"
TATAPOWER.BO,The Tata Power Company Limited,Utilities,500400,Power
ATGL.BO,Adani Total Gas Limited,Utilities,542066,"Oil, Gas & Consumable Fuels"
JSWENERGY.BO,JSW Energy Limited,Utilities,533148,Power
NHPC.BO,NHPC Limited,Utilities,533098,Power
IGL.BO,Indraprastha Gas Limited,Utilities,532514,"Oil, Gas & Consumable Fuels"
TORNTPOWER.BO,Torrent Power Limited,Utilities,532779,Power
GUJGAS.BO,Gujarat Gas Limited,Utilities,539336,"Oil, Gas & Consumable Fuels"
SJVN.BO,SJVN Limited,Utilities,533206,Power
NLCINDIA.BO,NLC India Limited,Utilities,513683,Power
GSPL.BO,Gujarat State Petronet Limited,Utilities,532702,"Oil, Gas & Consumable Fuels"
CESC.BO,CESC Limited,Utilities,500084,Power
MGL.BO,Mahanagar Gas Limited,Utilities,539957,"Oil, Gas & Consumable Fuels"
BHARTIARTL.BO,Bharti Airtel Limited,Communication Services,532454,Telecommunication
NAUKRI.BO,Info Edge (India) Limited,Communication Services,532777,Consumer Services
TATACOMM.BO,Tata Communications Limited,Communication Services,500483,Telecommunication
INDUSTOWER.BO,Indus Towers Limited,Communication Services,534816,Telecommunication
IDEA.BO,Vodafone Idea Limited,Communication Services,532822,Telecommunication
ZEEL.BO,Zee Entertainment Enterprises Limited,Communication Services,505537,"Media, Entertainment & Publication"
SUNTV.BO,Sun TV Network Limited,Communication Services,532733,"Media, Entertainment & Publication"
INDIAMART.BO,IndiaMART InterMESH Limited,Communication Services,542726,Consumer Services
PVRINOX.BO,PVR INOX Limited,Communication Services,532689,"Media, Entertainment & Publication"
TTML.BO,Tata Teleservices (Maharashtra) Limited,Communication Services,532371,Telecommunication
AFFLE.BO,Affle (India) Limited,Communication Services,542752,Information Technology
ROUTE.BO,Route Mobile Limited,Communication Services,543228,Telecommunication
TV18BRDCST.BO,TV18 Broadcast Limited,Communication Services,532800,"Media, Entertainment & Publication"
JUSTDIAL.BO,Just Dial Limited,Communication Services,535648,Consumer Services
NETWORK18.BO,Network18 Media & Investments Limited,Communication Services,532798,"Media, Entertainment & Publication"
RELIANCE.BO,Reliance Industries Limited,Energy,500325,"Oil, Gas & Consumable Fuels"
ADANIENT.BO,Adani Enterprises Limited,Energy,512599,Metals & Mining
ONGC.BO,Oil and Natural Gas Corporation Limited,Energy,500312,"Oil, Gas & Consumable Fuels"
COALINDIA.BO,Coal India Limited,Energy,533278,"Oil, Gas & Consumable Fuels"
IOC.BO,Indian Oil Corporation Limited,Energy,530965,"Oil, Gas & Consumable Fuels"
BPCL.BO,Bharat Petroleum Corporation Limited,Energy,500547,"Oil, Gas & Consumable Fuels"
HINDPETRO.BO,Hindustan Petroleum Corporation Limited,Energy,500104,"Oil, Gas & Consumable Fuels"
PETRONET.BO,Petronet LNG Limited,Energy,532522,"Oil, Gas & Consumable Fuels"
OIL.BO,Oil India Limited,Energy,533106,"Oil, Gas & Consumable Fuels"
MRPL.BO,Mangalore Refinery and Petrochemicals Limited,Energy,500109,"Oil, Gas & Consumable Fuels"
CASTROLIND.BO,Castrol India Limited,Energy,500870,"Oil, Gas & Consumable Fuels"
AEGISLOG.BO,Aegis Logistics Limited,Energy,500003,"Oil, Gas & Consumable Fuels"
LT.BO,Larsen & Toubro Limited,Industrials,500510,Construction
ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited,Industrials,532921,Services
SIEMENS.BO,Siemens Limited,Industrials,500550,Capital Goods
HAL.BO,Hindustan Aeronautics Limited,Industrials,541154,Capital Goods
ABB.BO,ABB India Limited,Industrials,500002,Capital Goods
INDIGO.BO,InterGlobe Aviation Limited,Industrials,539448,Services
BEL.BO,Bharat Electronics Limited,Industrials,500049,Capital Goods
HAVELLS.BO,Havells India Limited,Industrials,517354,Consumer Durables
POLYCAB.BO,Polycab India Limited,Industrials,542652,Capital Goods
CGPOWER.BO,CG Power and Industrial Solutions Limited,Industrials,500093,Capital Goods
ASHOKLEY.BO,Ashok Leyland Limited,Industrials,500477,Capital Goods
ASTRAL.BO,Astral Limited,Industrials,532830,Capital Goods
IRCTC.BO,Indian Railway Catering & Tourism Corporation Limited,Industrials,542830,Consumer Services
SUPREMEIND.BO,The Supreme Industries Limited,Industrials,509930,Capital Goods
CUMMINSIND.BO,Cummins India Limited,Industrials,500480,Capital Goods
CONCOR.BO,Container Corporation of India Limited,Industrials,531344,Services
HONAUT.BO,Honeywell Automation India Limited,Industrials,517174,Capital Goods
BHEL.BO,Bharat Heavy Electricals Limited,Industrials,500103,Capital Goods
MAZDOCK.BO,Mazagon Dock Shipbuilders Limited,Industrials,543237,Capital Goods
AIAENG.BO,AIA Engineering Limited,Industrials,532683,Capital Goods
3MINDIA.BO,3M India Limited,Industrials,523395,Diversified
GMRINFRA.BO,GMR Airports Infrastructure Limited,Industrials,532754,Services
DELHIVERY.BO,Delhivery Limited,Industrials,543529,Services
THERMAX.BO,Thermax Limited,Industrials,500411,Capital Goods
ESCORTS.BO,Escorts Kubota Limited,Industrials,500495,Capital Goods
VOLTAS.BO,Voltas Limited,Industrials,500575,Consumer Durables
RVNL.BO,Rail Vikas Nigam Limited,Industrials,542649,Construction
TIMKEN.BO,Timken India Limited,Industrials,522113,Capital Goods
SUZLON.BO,Suzlon Energy Limited,Industrials,532667,Capital Goods
GRINDWELL.BO,Grindwell Norton Limited,Industrials,506076,Capital Goods
SKFINDIA.BO,SKF India Limited,Industrials,500472,Capital Goods
KAJARIACER.BO,Kajaria Ceramics Limited,Industrials,500233,Consumer Durables
KEI.BO,KEI Industries Limited,Industrials,517569,Capital Goods
BDL.BO,Bharat Dynamics Limited,Industrials,541143,Capital Goods
CARBORUNIV.BO,Carborundum Universal Limited,Industrials,513375,Capital Goods
FINCABLES.BO,Finolex Cables Limited,Industrials,500144,Capital Goods
CYIENT.BO,Cyient Limited,Industrials,532175,Information Technology
GODREJIND.BO,Godrej Industries Limited,Industrials,500164,Diversified
ELGIEQUIP.BO,Elgi Equipments Limited,Industrials,522074,Capital Goods
KEC.BO,KEC International Limited,Industrials,532714,Capital Goods
IRB.BO,IRB Infrastructure Developers Limited,Industrials,532947,Construction
APARINDS.BO,APAR Industries Limited,Industrials,532259,Capital Goods
BLUEDART.BO,Blue Dart Express Limited,Industrials,526612,Services
RHIM.BO,RHI Magnesita India Limited,Industrials,534076,Capital Goods
BLUESTARCO.BO,Blue Star Limited,Industrials,500067,Consumer Durables
LAXMIMACH.BO,Lakshmi Machine Works Limited,Industrials,500252,Capital Goods
VGUARD.BO,V-Guard Industries Limited,Industrials,532953,Consumer Durables
TRITURBINE.BO,Triveni Turbine Limited,Industrials,533655,Capital Goods
GRINFRA.BO,G R Infraprojects Limited,Industrials,543317,Construction
DATAPATTNS.BO,Data Patterns (India) Limited,Industrials,543428,Capital Goods
RITES.BO,RITES Limited,Industrials,541556,Construction
GESHIP.BO,The Great Eastern Shipping Company Limited,Industrials,500620,Services
CERA.BO,Cera Sanitaryware Limited,Industrials,532443,Consumer Durables
AMARAJABAT.BO,Amara Raja Batteries Limited,Industrials,500008,Automobile and Auto Components
KPIL.BO,Kalpataru Projects International Limited,Industrials,522287,Construction
NCC.BO,NCC Limited,Industrials,500294,Construction
IRCON.BO,Ircon International Limited,Industrials,541956,Construction
INGERRAND.BO,Ingersoll-Rand (India) Limited,Industrials,500210,Capital Goods
KSB.BO,KSB Limited,Industrials,500249,Capital Goods
NBCC.BO,NBCC (India) Limited,Industrials,534309,Construction
PRAJIND.BO,Praj Industries Limited,Industrials,522205,Capital Goods
ENGINERSIN.BO,Engineers India Limited,Industrials,532178,Construction
COCHINSHIP.BO,Cochin Shipyard Limited,Industrials,540678,Capital Goods
GRAPHITE.BO,Graphite India Limited,Industrials,509488,Capital Goods
LATENTVIEW.BO,Latent View Analytics Limited,Industrials,543398,Information Technology
ESABINDIA.BO,ESAB India Limited,Industrials,500133,Capital Goods
KNRCON.BO,KNR Constructions Limited,Industrials,532942,Construction
FINOLEXIND.BO,Finolex Industries Limited,Industrials,500940,Capital Goods
HEG.BO,HEG Limited,Industrials,509631,Capital Goods
SIS.BO,SIS Limited,Industrials,540673,Services
QUESS.BO,Quess Corp Limited,Industrials,539978,Services
MMTC.BO,MMTC Limited,Industrials,513377,Services
GPPL.BO,Gujarat Pipavav Port Limited,Industrials,533248,Services
GMM.BO,GMM Pfaudler Limited,Industrials,505255,Capital Goods
TCIEXP.BO,TCI Express Limited,Industrials,540212,Services
NESCO.BO,Nesco Limited,Industrials,505355,Services
PNCINFRA.BO,PNC Infratech Limited,Industrials,539150,Construction
HLEGLAS.BO,HLE Glascoat Limited,Industrials,522215,Capital Goods
TEAMLEASE.BO,TeamLease Services Limited,Industrials,539658,Services
TCS.BO,Tata Consultancy Services Limited,Technology,532540,Information Technology
INFY.BO,Infosys Limited,Technology,500209,Information Technology
HCLTECH.BO,HCL Technologies Limited,Technology,532281,Information Technology
WIPRO.BO,Wipro Limited,Technology,507685,Information Technology
LTIM.BO,LTIMindtree Limited,Technology,540005,Information Technology
TECHM.BO,Tech Mahindra Limited,Technology,532755,Information Technology
PAYTM.BO,One97 Communications Limited,Technology,543396,Financial Services
LTTS.BO,L&T Technology Services Limited,Technology,540115,Information Technology
TATAELXSI.BO,Tata Elxsi Limited,Technology,500408,Information Technology
MPHASIS.BO,Mphasis Limited,Technology,526299,Information Technology
PERSISTENT.BO,Persistent Systems Limited,Technology,533179,Information Technology
OFSS.BO,Oracle Financial Services Software Limited,Technology,532466,Information Technology
COFORGE.BO,Coforge Limited,Technology,532541,Information Technology
KPITTECH.BO,KPIT Technologies Limited,Technology,542651,Information Technology
DIXON.BO,Dixon Technologies (India) Limited,Technology,540699,Consumer Durables
POWERINDIA.BO,Hitachi Energy India Limited,Technology,543187,Capital Goods
TANLA.BO,Tanla Platforms Limited,Technology,532790,Information Technology
SONATSOFTW.BO,Sonata Software Limited,Technology,532221,Information Technology
TEJASNET.BO,Tejas Networks Limited,Technology,540595,Telecommunication
HAPPSTMNDS.BO,Happiest Minds Technologies Limited,Technology,543227,Information Technology
BSOFT.BO,Birlasoft Limited,Technology,532400,Information Technology
CAMS.BO,Computer Age Management Services Limited,Technology,543232,Financial Services
REDINGTON.BO,Redington Limited,Technology,532805,Services
ZENSARTECH.BO,Zensar Technologies Limited,Technology,504067,Information Technology
ITI.BO,ITI Limited,Technology,523610,Telecommunication
FSL.BO,Firstsource Solutions Limited,Technology,532809,Services
HFCL.BO,HFCL Limited,Technology,500183,Telecommunication
INTELLECT.BO,Intellect Design Arena Limited,Technology,538835,Information Technology
MAPMYINDIA.BO,C. E. Info Systems Limited,Technology,543425,Information Technology
ECLERX.BO,eClerx Services Limited,Technology,532927,Services
SWSOLAR.BO,Sterling and Wilson Renewable Energy Limited,Technology,542760,Construction
MASTEK.BO,Mastek Limited,Technology,523704,Information Technology
STLTECH.BO,Sterlite Technologies Limited,Technology,532374,Telecommunication
INFIBEAM.BO,Infibeam Avenues Limited,Technology,539807,Financial Services
ADANITRANS.BO,Adani Energy Solutions Limited,Utilities,539254,Power
