symbol,name,sector,bse_security_code,bse_industry
RALLIS.BO,Rallis India Limited,Basic Materials,500355,Chemicals
HEIDELBERG.BO,HeidelbergCement India Limited,Basic Materials,500292,Construction Materials
PRIVISCL.BO,Privi Speciality Chemicals Limited,Basic Materials,530117,Chemicals
NOCIL.BO,NOCIL Limited,Basic Materials,500730,Chemicals
POLYPLEX.BO,Polyplex Corporation Limited,Basic Materials,524051,Capital Goods
MARUTI.BO,Maruti Suzuki India Limited,Consumer Cyclical,532500,Automobile and Auto Components
TITAN.BO,Titan Company Limited,Consumer Cyclical,500114,Consumer Durables
TATAMTRDVR.BO,Tata Motors Limited,Consumer Cyclical,570001,Automobile and Auto Components
TATAMOTORS.BO,Tata Motors Limited,Consumer Cyclical,500570,Automobile and Auto Components
M&M.BO,Mahindra & Mahindra Limited,Consumer Cyclical,500520,Automobile and Auto Components
BAJAJ-AUTO.BO,Bajaj Auto Limited,Consumer Cyclical,532977,Automobile and Auto Components
EICHERMOT.BO,Eicher Motors Limited,Consumer Cyclical,505200,Automobile and Auto Components
ZOMATO.BO,Zomato Limited,Consumer Cyclical,543320,Consumer Services
TRENT.BO,Trent Limited,Consumer Cyclical,500251,Consumer Services
MOTHERSON.BO,Samvardhana Motherson International Limited,Consumer Cyclical,517334,Automobile and Auto Components
TVSMOTOR.BO,TVS Motor Company Limited,Consumer Cyclical,532343,Automobile and Auto Components
HEROMOTOCO.BO,Hero MotoCorp Limited,Consumer Cyclical,500182,Automobile and Auto Components
TIINDIA.BO,Tube Investments of India Limited,Consumer Cyclical,540762,Automobile and Auto Components
INDHOTEL.BO,The Indian Hotels Company Limited,Consumer Cyclical,500850,Consumer Services
BOSCHLTD.BO,Bosch Limited,Consumer Cyclical,500530,Automobile and Auto Components
SCHAEFFLER.BO,Schaeffler India Limited,Consumer Cyclical,505790,Automobile and Auto Components
PAGEIND.BO,Page Industries Limited,Consumer Cyclical,532827,Textiles
BALKRISIND.BO,Balkrishna Industries Limited,Consumer Cyclical,502355,Automobile and Auto Components
BHARATFORG.BO,Bharat Forge Limited,Consumer Cyclical,500493,Capital Goods
MRF.BO,MRF Limited,Consumer Cyclical,500290,Automobile and Auto Components
NYKAA.BO,FSN E-Commerce Ventures Limited,Consumer Cyclical,543384,Consumer Services
UNOMINDA.BO,Uno Minda Limited,Consumer Cyclical,532539,Automobile and Auto Components
JUBLFOOD.BO,Jubilant FoodWorks Limited,Consumer Cyclical,533155,Consumer Services
SONACOMS.BO,Sona BLW Precision Forgings Limited,Consumer Cyclical,543300,Automobile and Auto Components
MANYAVAR.BO,Vedant Fashions Limited,Consumer Cyclical,543463,Consumer Services
METROBRAND.BO,Metro Brands Limited,Consumer Cyclical,543426,Consumer Durables
MSUMI.BO,Motherson Sumi Wiring India Limited,Consumer Cyclical,543498,Automobile and Auto Components
SUNDRMFAST.BO,Sundram Fasteners Limited,Consumer Cyclical,500403,Automobile and Auto Components
ZFCVINDIA.BO,ZF Commercial Vehicle Control Systems India Limited,Consumer Cyclical,533023,Automobile and Auto Components
APOLLOTYRE.BO,Apollo Tyres Limited,Consumer Cyclical,500877,Automobile and Auto Components
DEVYANI.BO,Devyani International Limited,Consumer Cyclical,543330,Consumer Services
RELAXO.BO,Relaxo Footwears Limited,Consumer Cyclical,530517,Consumer Durables
ENDURANCE.BO,Endurance Technologies Limited,Consumer Cyclical,540153,Automobile and Auto Components
EXIDEIND.BO,Exide Industries Limited,Consumer Cyclical,500086,Automobile and Auto Components
KPRMILL.BO,K.P.R. Mill Limited,Consumer Cyclical,532889,Textiles
BATAINDIA.BO,Bata India Limited,Consumer Cyclical,500043,Consumer Durables
KALYANKJIL.BO,Kalyan Jewellers India Limited,Consumer Cyclical,543278,Consumer Durables
ABFRL.BO,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,535755,Consumer Services
WHIRLPOOL.BO,Whirlpool of India Limited,Consumer Cyclical,500238,Consumer Durables
CROMPTON.BO,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,539876,Consumer Durables
CIEINDIA.BO,CIE Automotive India Limited,Consumer Cyclical,532756,Automobile and Auto Components
TRIDENT.BO,Trident Limited,Consumer Cyclical,521064,Textiles
RAJESHEXPO.BO,Rajesh Exports Limited,Consumer Cyclical,531500,Consumer Durables
JBMA.BO,JBM Auto Limited,Consumer Cyclical,532605,Automobile and Auto Components
WESTLIFE.BO,Westlife Foodworld Limited,Consumer Cyclical,505533,Consumer Services
BAJAJELEC.BO,Bajaj Electricals Limited,Consumer Cyclical,500031,Consumer Durables
EIHOTEL.BO,EIH Limited,Consumer Cyclical,500840,Consumer Services
RAYMOND.BO,Raymond Limited,Consumer Cyclical,500330,Textiles
ASAHIINDIA.BO,Asahi India Glass Limited,Consumer Cyclical,515030,Automobile and Auto Components
ALOKTEXT.BO,Alok Industries Limited,Consumer Cyclical,521070,Textiles
WELSPUNIND.BO,Welspun India Limited,Consumer Cyclical,514162,Textiles
SFL.BO,Sheela Foam Limited,Consumer Cyclical,540203,Consumer Durables
TTKPRESTIG.BO,TTK Prestige Limited,Consumer Cyclical,517506,Consumer Durables
CHALET.BO,Chalet Hotels Limited,Consumer Cyclical,542399,Consumer Services
VTL.BO,Vardhman Textiles Limited,Consumer Cyclical,502986,Textiles
VIPIND.BO,V.I.P. Industries Limited,Consumer Cyclical,507880,Consumer Durables
CEATLTD.BO,CEAT Limited,Consumer Cyclical,500878,Automobile and Auto Components
SHOPERSTOP.BO,Shoppers Stop Limited,Consumer Cyclical,532638,Consumer Services
CAMPUS.BO,Campus Activewear Limited,Consumer Cyclical,543523,Consumer Durables
SAPPHIRE.BO,Sapphire Foods India Limited,Consumer Cyclical,543397,Consumer Services
AMBER.BO,Amber Enterprises India Limited,Consumer Cyclical,540902,Consumer Durables
JINDWORLD.BO,Jindal Worldwide Limited,Consumer Cyclical,531543,Textiles
LEMONTREE.BO,Lemon Tree Hotels Limited,Consumer Cyclical,541233,Consumer Services
SWANENERGY.BO,Swan Energy Limited,Consumer Cyclical,503310,Realty
MINDACORP.BO,Minda Corporation Limited,Consumer Cyclical,538962,Automobile and Auto Components
EASEMYTRIP.BO,Easy Trip Planners Limited,Consumer Cyclical,543272,Consumer Services
MHRIL.BO,Mahindra Holidays & Resorts India Limited,Consumer Cyclical,533088,Consumer Services
MAHSCOOTER.BO,Maharashtra Scooters Ltd.,Consumer Cyclical,500266,Financial Services
GARFIBRES.BO,Garware Technical Fibres Limited,Consumer Cyclical,509557,Textiles
VAIBHAVGBL.BO,Vaibhav Global Limited,Consumer Cyclical,532156,Consumer Durables
EPL.BO,EPL Limited,Consumer Cyclical,500135,Capital Goods
SYMPHONY.BO,Symphony Limited,Consumer Cyclical,517385,Consumer Durables
BORORENEW.BO,Borosil Renewables Limited,Consumer Cyclical,502219,Capital Goods
VARROC.BO,Varroc Engineering Limited,Consumer Cyclical,541578,Automobile and Auto Components
RBA.BO,Restaurant Brands Asia Limited,Consumer Cyclical,543248,Consumer Services
ORIENTELEC.BO,Orient Electric Limited,Consumer Cyclical,541301,Consumer Durables
LAOPALA.BO,La Opala RG Limited,Consumer Cyclical,526947,Consumer Durables
DELTACORP.BO,Delta Corp Limited,Consumer Cyclical,532848,Consumer Services
VMART.BO,V-Mart Retail Limited,Consumer Cyclical,534976,Consumer Services
JAMNAAUTO.BO,Jamna Auto Industries Limited,Consumer Cyclical,520051,Automobile and Auto Components
IFBIND.BO,IFB Industries Limited,Consumer Cyclical,505726,Consumer Durables
UFLEX.BO,Uflex Limited,Consumer Cyclical,500148,Capital Goods
HDFCBANK.BO,HDFC Bank Limited,Financial Services,500180,Financial Services
ICICIBANK.BO,ICICI Bank Limited,Financial Services,532174,Financial Services
SBIN.BO,State Bank of India,Financial Services,500112,Financial Services
BAJFINANCE.BO,Bajaj Finance Limited,Financial Services,500034,Financial Services
LICI.BO,Life Insurance Corporation of India,Financial Services,543526,Financial Services
KOTAKBANK.BO,Kotak Mahindra Bank Limited,Financial Services,500247,Financial Services
AXISBANK.BO,Axis Bank Limited,Financial Services,532215,Financial Services
BAJAJFINSV.BO,Bajaj Finserv Ltd.,Financial Services,532978,Financial Services
HDFCLIFE.BO,HDFC Life Insurance Company Limited,Financial Services,540777,Financial Services
SBILIFE.BO,SBI Life Insurance Company Limited,Financial Services,540719,Financial Services
INDUSINDBK.BO,IndusInd Bank Limited,Financial Services,532187,Financial Services
BANKBARODA.BO,Bank of Baroda Limited,Financial Services,532134,Financial Services
CHOLAFIN.BO,Cholamandalam Investment and Finance Company Limited,Financial Services,511243,Financial Services
SBICARD.BO,SBI Cards and Payment Services Limited,Financial Services,543066,Financial Services
BAJAJHLDNG.BO,Bajaj Holdings & Investment Limited,Financial Services,500490,Financial Services
ICICIPRULI.BO,ICICI Prudential Life Insurance Company Limited,Financial Services,540133,Financial Services
PFC.BO,Power Finance Corporation Limited,Financial Services,532810,Financial Services
IDBI.BO,IDBI Bank Limited,Financial Services,500116,Financial Services
PNB.BO,Punjab National Bank,Financial Services,532461,Financial Services
SHRIRAMFIN.BO,Shriram Finance Limited,Financial Services,511218,Financial Services
ICICIGI.BO,ICICI Lombard General Insurance Company Limited,Financial Services,540716,Financial Services
IRFC.BO,Indian Railway Finance Corporation Limited,Financial Services,543257,Financial Services
UNIONBANK.BO,Union Bank of India,Financial Services,532477,Financial Services
CANBK.BO,Canara Bank,Financial Services,532483,Financial Services
RECLTD.BO,REC Limited,Financial Services,532955,Financial Services
IDFCFIRSTB.BO,IDFC First Bank Limited,Financial Services,539437,Financial Services
IOB.BO,Indian Overseas Bank,Financial Services,532388,Financial Services
HDFCAMC.BO,HDFC Asset Management Company Limited,Financial Services,541729,Financial Services
MUTHOOTFIN.BO,Muthoot Finance Limited,Financial Services,533398,Financial Services
YESBANK.BO,Yes Bank Limited,Financial Services,532648,Financial Services
INDIANB.BO,Indian Bank,Financial Services,532814,Financial Services
ABCAPITAL.BO,Aditya Birla Capital Limited,Financial Services,540691,Financial Services
AUBANK.BO,AU Small Finance Bank Limited,Financial Services,540611,Financial Services
STARHEALTH.BO,Star Health and Allied Insurance Company Limited,Financial Services,543412,Financial Services
BANDHANBNK.BO,Bandhan Bank Limited,Financial Services,541153,Financial Services
BANKINDIA.BO,Bank of India Limited,Financial Services,532149,Financial Services
GICRE.BO,General Insurance Corporation of India,Financial Services,540755,Financial Services
M&MFIN.BO,Mahindra & Mahindra Financial Services Limited,Financial Services,532720,Financial Services
UCOBANK.BO,UCO Bank,Financial Services,532505,Financial Services
POONAWALLA.BO,Poonawalla Fincorp Limited,Financial Services,524000,Financial Services
POLICYBZR.BO,PB Fintech Limited,Financial Services,543390,Financial Services
L&TFH.BO,L&T Finance Holdings Limited,Financial Services,533519,Financial Services
MFSL.BO,Max Financial Services Limited,Financial Services,500271,Financial Services
FEDERALBNK.BO,The Federal Bank Limited,Financial Services,500469,Financial Services
CRISIL.BO,CRISIL Limited,Financial Services,500092,Financial Services
CENTRALBK.BO,Central Bank of India,Financial Services,532885,Financial Services
MAHABANK.BO,Bank of Maharashtra,Financial Services,532525,Financial Services
PEL.BO,Piramal Enterprises Limited,Financial Services,500302,Financial Services
FIVESTAR.BO,Five-Star Business Finance Limited,Financial Services,543663,Financial Services
LICHSGFIN.BO,LIC Housing Finance Limited,Financial Services,500253,Financial Services
PSB.BO,Punjab & Sind Bank,Financial Services,533295,Financial Services
CREDITACC.BO,CreditAccess Grameen Limited,Financial Services,541770,Financial Services
IIFL.BO,IIFL Finance Limited,Financial Services,532636,Financial Services
NIACL.BO,The New India Assurance Company Limited,Financial Services,540769,Financial Services
NAM-INDIA.BO,Nippon Life India Asset Management Limited,Financial Services,540767,Financial Services
ISEC.BO,ICICI Securities Limited,Financial Services,541179,Financial Services
IDFC.BO,IDFC Limited,Financial Services,532659,Financial Services
360ONE.BO,360 One Wam Limited,Financial Services,542772,Financial Services
CHOLAHLDNG.BO,Cholamandalam Financial Holdings Limited,Financial Services,504973,Financial Services
PNBHOUSING.BO,PNB Housing Finance Limited,Financial Services,540173,Financial Services
ANGELONE.BO,Angel One Limited,Financial Services,543235,Financial Services
CGCL.BO,Capri Global Capital Limited,Financial Services,531595,Financial Services
MOTILALOFS.BO,Motilal Oswal Financial Services Limited,Financial Services,532892,Financial Services
HUDCO.BO,Housing and Urban Development Corporation Limited,Financial Services,540530,Financial Services
RBLBANK.BO,RBL Bank Limited,Financial Services,540065,Financial Services
APTUS.BO,Aptus Value Housing Finance India Limited,Financial Services,543335,Financial Services
TATAINVEST.BO,Tata Investment Corporation Limited,Financial Services,501301,Financial Services
MANAPPURAM.BO,Manappuram Finance Limited,Financial Services,531213,Financial Services
AAVAS.BO,Aavas Financiers Limited,Financial Services,541988,Financial Services
ABSLAMC.BO,Aditya Birla Sun Life AMC Ltd.,Financial Services,543374,Financial Services
IEX.BO,Indian Energy Exchange Limited,Financial Services,540750,Financial Services
EQUITASBNK.BO,Equitas Small Finance Bank Limited,Financial Services,543243,Financial Services
UTIAMC.BO,UTI Asset Management Company Limited,Financial Services,543238,Financial Services
CANFINHOME.BO,Can Fin Homes Limited,Financial Services,511196,Financial Services
CUB.BO,City Union Bank Limited,Financial Services,532210,Financial Services
MCX.BO,Multi Commodity Exchange of India Limited,Financial Services,534091,Financial Services
IBULHSGFIN.BO,Indiabulls Housing Finance Limited,Financial Services,535789,Financial Services
HOMEFIRST.BO,Home First Finance Company India Limited,Financial Services,543259,Financial Services
TMB.BO,Tamilnad Mercantile Bank Limited,Financial Services,543596,Financial Services
JMFINANCIL.BO,JM Financial Limited,Financial Services,523405,Financial Services
CSBBANK.BO,CSB Bank Limited,Financial Services,542867,Financial Services
MASFIN.BO,MAS Financial Services Limited,Financial Services,540749,Financial Services
DLF.BO,DLF Limited,Real Estate,532868,Realty
LODHA.BO,Macrotech Developers Limited,Real Estate,543287,Realty
GODREJPROP.BO,Godrej Properties Limited,Real Estate,533150,Realty
OBEROIRLTY.BO,Oberoi Realty Limited,Real Estate,533273,Realty
PHOENIXLTD.BO,The Phoenix Mills Limited,Real Estate,503100,Realty
PRESTIGE.BO,Prestige Estates Projects Limited,Real Estate,533274,Realty
BRIGADE.BO,Brigade Enterprises Limited,Real Estate,532929,Realty
MAHLIFE.BO,Mahindra Lifespace Developers Limited,Real Estate,532313,Realty
SUNTECK.BO,Sunteck Realty Limited,Real Estate,512179,Realty
SOBHA.BO,Sobha Limited,Real Estate,532784,Realty
