symbol,name,sector,bse_security_code,bse_industry,risk,return,beta,debtToEquity,grossMargins,ebitdaMargins,operatingMargins
DALBHARAT.BO,Dalmia Bharat Limited,Basic Materials,542216,Construction Materials,0.11355455324451597,0.020716705916323942,0.618,33.507,0.57300997,0.19217,0.059699997
SOLARINDS.BO,Solar Industries India Limited,Basic Materials,532725,Chemicals,0.09638728567761017,0.036146802204305696,-0.145,35.536,0.40779,0.21566,0.22448
ACC.BO,ACC Limited,Basic Materials,500410,Construction Materials,0.08123599094555721,0.010295406395589058,0.314,2.745,0.47811002,0.11132,0.07587
JSL.BO,Jindal Stainless Limited,Basic Materials,532508,Metals & Mining,0.1875849439124213,0.04130463670910381,0.877,43.082,0.30159,0.11507,0.10295
NMDC.BO,NMDC Limited,Basic Materials,526371,Metals & Mining,0.1081119441131238,0.01083809589672664,0.996,8.748,0.52989,0.34179002,0.27445
FLUOROCHEM.BO,Gujarat Fluorochemicals Limited,Basic Materials,542812,Chemicals,0.1662486911058205,0.055009234872237835,0.469,28.94,0.50844,0.29523,0.0864
COROMANDEL.BO,Coromandel International Limited,Basic Materials,506395,Chemicals,0.085598411828185,0.01959113890159248,0.298,4.798,0.22922,0.11632,0.14378001
KANSAINER.BO,Kansai Nerolac Paints Limited,Basic Materials,500165,Consumer Durables,0.09054521891467274,0.014725817887835316,0.257,6.06,0.33214,0.122150004,0.115430005
TATACHEM.BO,Tata Chemicals Limited,Basic Materials,500770,Chemicals,0.11474362460608141,0.02076049456291593,0.933,27.152,0.60627997,0.22849001,0.14632
JKCEMENT.BO,J.K. Cement Limited,Basic Materials,532644,Construction Materials,0.11616744558001754,0.03335339389536867,0.625,110.975,0.55904996,0.13509,0.11984
NAVINFLUOR.BO,Navin Fluorine International Limited,Basic Materials,532504,Chemicals,0.12001331422103959,0.045598090493875504,0.252,55.55,0.57312,0.26038,0.15704
BAYERCROP.BO,Bayer CropScience Limited,Basic Materials,506285,Chemicals,0.08621877939351329,0.014242114186234354,0.382,2.037,0.42401,0.18253,0.18135999
SUMICHEM.BO,Sumitomo Chemical India Limited,Basic Materials,542920,Chemicals,0.09394200787512531,0.014465152164264224,0.484,1.151,0.33800998,0.14843,0.19056
RAMCOCEM.BO,The Ramco Cements Limited,Basic Materials,500260,Construction Materials,0.08552616382131857,0.01948589886293772,0.267,71.937,0.51057,0.15804,0.10375
ATUL.BO,Atul Ltd,Basic Materials,500027,Chemicals,0.09499806298540583,0.028394782935753045,0.344,3.265,0.44664,0.13609,0.08478
VINATIORGA.BO,Vinati Organics Limited,Basic Materials,524200,Chemicals,0.10883979317004935,0.029116397881473795,0.186,0.009,0.49055,0.28109,0.24398
RATNAMANI.BO,Ratnamani Metals & Tubes Limited,Basic Materials,520111,Capital Goods,0.12185080602431506,0.03789563994775769,0.598,6.125,0.35718,0.19358,0.19559999
NATIONALUM.BO,National Aluminium Company Limited,Basic Materials,532234,Metals & Mining,0.11316880016841076,0.018738756112890536,0.856,0.711,0.48334,0.16865,0.069120005
AARTIIND.BO,Aarti Industries Limited,Basic Materials,524208,Chemicals,0.11139361875098468,0.034818861581445266,0.667,63.757,0.38664,0.15619999,0.09696999
HINDCOPPER.BO,Hindustan Copper Limited,Basic Materials,513599,Metals & Mining,0.19178201511635443,0.02326807994033439,1.541,13.295,0.92412,0.30528998,0.22737
CLEAN.BO,Clean Science and Technology Limited,Basic Materials,543318,Chemicals,0.11031573700980749,0.004557533605730032,-0.228,0.286,0.67872,0.44189,0.35173
LLOYDSME.BO,Lloyds Metals and Energy Limited,Basic Materials,512455,Metals & Mining,0.09233690357380624,0.03467316874201906,0.136,0.863,0.69518995,0.25821,0.27126
AETHER.BO,Aether Industries Limited,Basic Materials,543534,Chemicals,0.0849068435767778,0.0074692190728190356,,0.834,0.52588004,0.29229,0.22071
FINEORG.BO,Fine Organic Industries Limited,Basic Materials,541557,Chemicals,0.08700701586307312,0.026554071369612398,-0.046,0.793,0.40552,0.25952,0.21582001
CENTURYPLY.BO,Century Plyboards (India) Limited,Basic Materials,532548,Consumer Durables,0.13832103195146062,0.03873309618735492,0.508,23.355,0.47089002,0.15824,0.121309996
DCMSHRIRAM.BO,DCM Shriram Limited,Basic Materials,523367,Diversified,0.14142242784919848,0.034675185910928844,0.458,24.731,0.29471,0.101210006,0.01481
KIOCL.BO,KIOCL Limited,Basic Materials,540680,Metals & Mining,0.19118701240514122,0.02558124740060207,0.998,9.189,0.06341,-0.043959998,-0.061290003
AKZOINDIA.BO,Akzo Nobel India Limited,Basic Materials,500710,Consumer Durables,0.06602287113683801,0.013481710236662057,0.16,4.693,0.41403,0.15029,0.12622
NUVOCO.BO,Nuvoco Vistas Corporation Limited,Basic Materials,543334,Construction Materials,0.08850684480560841,-0.010030822606451231,0.01,57.866,0.57633996,0.11602,0.04054
ALKYLAMINE.BO,Alkyl Amines Chemicals Limited,Basic Materials,506767,Chemicals,0.13669400155691128,0.043543926812529984,0.618,7.828,0.45305002,0.17467,0.10152
SHYAMMETL.BO,Shyam Metalics and Energy Limited,Basic Materials,543299,Metals & Mining,0.09488579513496162,0.010541634654419076,0.161,23.291,0.27305,0.11218,0.0444
CENTURYTEX.BO,Century Textiles and Industries Limited,Basic Materials,500040,Forest Materials,0.1349729631854122,0.022072923062454324,0.349,57.812,0.41492,0.07988,-0.023
CHAMBLFERT.BO,Chambal Fertilisers and Chemicals Limited,Basic Materials,500085,Chemicals,0.10356626919773658,0.025224636645116212,0.771,29.949,0.3307,0.0922,0.099630006
BASF.BO,BASF India Limited,Basic Materials,500042,Chemicals,0.10590469038592702,0.01944562086034779,0.15,4.211,0.15409,0.04853,0.050300002
ANURAS.BO,Anupam Rasayan India Ltd,Basic Materials,543275,Chemicals,0.13322623377001996,0.023988679565122014,0.295,43.106,0.54813,0.26095,0.22346
DEEPAKNI.BO,Deepak Nitrite Limited,Basic Materials,506401,Chemicals,0.12971251499104391,0.04672674210976976,,,,,
GALAXYSURF.BO,Galaxy Surfactants Limited,Basic Materials,540935,Chemicals,0.08170799565909505,0.012604842477855824,0.479,11.962,0.31059998,0.13231,0.10195
BIRLACORPN.BO,Birla Corporation Limited,Basic Materials,500335,Construction Materials,0.1291910804072342,0.023781620350827096,0.253,65.229,0.84471,0.10809,0.0636
WELCORP.BO,Welspun Corp Limited,Basic Materials,532144,Capital Goods,0.15772833345068124,0.033122423005707786,0.692,38.673,0.30095,0.09869,0.077309996
GNFC.BO,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,500670,Chemicals,0.16015288802067915,0.03230366372710566,0.29,1.959,0.26629,0.13854,0.04375
SPLPETRO.BO,Supreme Petrochem Limited,Basic Materials,500405,Chemicals,0.13451452105560865,0.03466165279988046,0.318,4.27,0.16833,0.10333,0.07201
INDIACEM.BO,The India Cements Limited,Basic Materials,530005,Construction Materials,0.12984200624342318,0.021718839209561226,-0.148,50.057,0.35946998,-0.019270001,-0.04
PRINCEPIPE.BO,Prince Pipes and Fittings Limited,Basic Materials,542907,Capital Goods,0.1691644357237555,0.04226393977520268,1.011,4.07,0.28151,0.13252,0.109139994
JKLAKSHMI.BO,JK Lakshmi Cement Limited,Basic Materials,500380,Construction Materials,0.1306480210254966,0.03027601357025849,0.526,65.805,0.48314,0.12159,0.102010004
INDIGOPNTS.BO,Indigo Paints Limited,Basic Materials,543258,Consumer Durables,0.09111748496031721,-0.010601403649960962,0.375,2.102,0.46113,0.17381,0.110530004
BALAMINES.BO,Balaji Amines Limited,Basic Materials,530999,Chemicals,0.16071099964954486,0.04696358474787082,1.063,2.484,0.42488,0.19868,0.11301
LXCHEM.BO,Laxmi Organic Industries Limited,Basic Materials,543277,Chemicals,0.16485379249008428,0.020589866266129533,0.116,11.494,0.32185,0.08587,0.01745
CHEMPLASTS.BO,Chemplast Sanmar Limited,Basic Materials,543336,Chemicals,0.13091810422056424,-0.0018317685967312745,0.075,70.6,0.32705003,0.05804,0.01075
DEEPAKFERT.BO,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,500645,Chemicals,0.13677398150011,0.02500282098190787,0.19,77.969,0.27326,0.14854999,0.08452
MIDHANI.BO,Mishra Dhatu Nigam Limited,Basic Materials,541195,Capital Goods,0.12299212395138372,0.022574832564147215,0.176,37.766,0.68179,0.24554001,0.09611
PRSMJOHNSN.BO,Prism Johnson Limited,Basic Materials,500338,Construction Materials,0.1350525181141608,0.02631820351480933,0.785,87.605,0.40807998,0.05664,-0.0015
STARCEMENT.BO,Star Cement Limited,Basic Materials,540575,Construction Materials,0.07406361655441047,0.007256616336918446,0.251,1.253,0.53095,0.17865999,0.10687
ACI.BO,Archean Chemical Industries Limited,Basic Materials,543657,Chemicals,0.1296155930232575,0.022905801130786396,,4.11,0.97564006,0.41729,0.26838
RCF.BO,Rashtriya Chemicals and Fertilizers Limited,Basic Materials,524230,Chemicals,0.13332889300191272,0.023391506904181132,0.831,48.82,0.113079995,0.04553,0.01199
GSFC.BO,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,500690,Chemicals,0.14516606562776826,0.024887152008820725,0.602,0.019,0.23712,0.09747,0.06143
PCBL.BO,PCBL Limited,Basic Materials,506590,Chemicals,0.149346427952168,0.04026564844163486,0.828,37.459,0.26672,0.13625,0.12772
JKPAPER.BO,JK Paper Limited,Basic Materials,532162,Forest Materials,0.12270831301546453,0.02929884495430315,0.5,52.294,0.52803004,0.31087,0.23184
RAIN.BO,Rain Industries Limited,Basic Materials,500339,Chemicals,0.15530647165236708,0.024041886825283874,1.003,105.535,0.39795,0.107030004,0.021540001
GUJALKALI.BO,Gujarat Alkalies and Chemicals Limited,Basic Materials,530001,Chemicals,0.13752820039965075,0.02084189930970421,0.382,8.916,0.3298,0.15384,-0.05148
ROSSARI.BO,Rossari Biotech Limited,Basic Materials,543213,Chemicals,0.09072350362803065,0.006517535988053383,0.171,13.453,0.29215,0.13067001,0.10022
RALLIS.BO,Rallis India Limited,Basic Materials,500355,Chemicals,0.09451928874211638,0.008307195340471729,0.43,7.065,0.35823002,0.09377,0.12861
HEIDELBERG.BO,HeidelbergCement India Limited,Basic Materials,500292,Construction Materials,0.09474135588443285,0.021406519920154708,0.382,14.038,0.81738997,0.11663,0.07517
PRIVISCL.BO,Privi Speciality Chemicals Limited,Basic Materials,530117,Chemicals,0.14863342717231898,0.03929798304920148,0.003,121.506,0.29700002,0.13047,0.12876001
NOCIL.BO,NOCIL Limited,Basic Materials,500730,Chemicals,0.1250417756873622,0.03340128364128617,0.437,0.483,0.41472998,0.12363,0.09182999
POLYPLEX.BO,Polyplex Corporation Limited,Basic Materials,524051,Capital Goods,0.11864411984788238,0.024899660959451175,0.748,10.889,0.33852002,0.08565,0.02894
MARUTI.BO,Maruti Suzuki India Limited,Consumer Cyclical,532500,Automobile and Auto Components,0.08314490459561981,0.01932027766998588,0.472,0.597,0.27086002,0.10797,0.10832
TITAN.BO,Titan Company Limited,Consumer Cyclical,500114,Consumer Durables,0.0872520975185997,0.027681569924873844,0.482,114.352,0.233,0.101280004,0.10113
TATAMTRDVR.BO,Tata Motors Limited,Consumer Cyclical,570001,Automobile and Auto Components,0.1487841932806869,0.01924583154367099,1.823,210.024,0.42139998,0.10138,0.08293
TATAMOTORS.BO,Tata Motors Limited,Consumer Cyclical,500570,Automobile and Auto Components,0.14300081050800525,0.01596936420792626,1.823,210.024,0.42139998,0.10138,0.08293
M&M.BO,Mahindra & Mahindra Limited,Consumer Cyclical,500520,Automobile and Auto Components,0.08951124718314309,0.01629221510743099,0.85,140.353,0.39498,0.16736999,0.14419
BAJAJ-AUTO.BO,Bajaj Auto Limited,Consumer Cyclical,532977,Automobile and Auto Components,0.07675746363673214,0.013978953152918772,0.853,,0.30297002,0.21159,0.21476999
EICHERMOT.BO,Eicher Motors Limited,Consumer Cyclical,505200,Automobile and Auto Components,0.08886336713654513,0.023902366145163705,0.455,2.612,0.42834,0.23875,0.22958
ZOMATO.BO,Zomato Limited,Consumer Cyclical,543320,Consumer Services,0.14081664437775282,0.0072531804582135085,0.133,2.64,0.61320996,-0.0883,-0.06145
TRENT.BO,Trent Limited,Consumer Cyclical,500251,Consumer Services,0.10510176180274429,0.035474463564326424,0.239,161.565,0.40941003,0.09912,0.10205
MOTHERSON.BO,Samvardhana Motherson International Limited,Consumer Cyclical,517334,Automobile and Auto Components,0.12270746592277848,0.01599498251958397,1.462,89.017,0.41414002,0.08132,0.04385
TVSMOTOR.BO,TVS Motor Company Limited,Consumer Cyclical,532343,Automobile and Auto Components,0.10086463734077054,0.03301803572596775,0.269,359.015,0.36244,0.12605,0.112629995
HEROMOTOCO.BO,Hero MotoCorp Limited,Consumer Cyclical,500182,Automobile and Auto Components,0.0820025064088265,0.010022789803118024,0.748,3.657,0.31051,0.13125,0.12299
TIINDIA.BO,Tube Investments of India Limited,Consumer Cyclical,540762,Automobile and Auto Components,0.12399740869985718,0.04492655936475024,0.595,35.01,0.31579,0.13203,0.1065
INDHOTEL.BO,The Indian Hotels Company Limited,Consumer Cyclical,500850,Consumer Services,0.10384750189905434,0.02263302716744948,0.366,30.275,0.61974996,0.3083,0.19667
BOSCHLTD.BO,Bosch Limited,Consumer Cyclical,500530,Automobile and Auto Components,0.08553321116935458,0.011159072134147689,0.597,0.397,0.3433,0.122489996,0.09443
SCHAEFFLER.BO,Schaeffler India Limited,Consumer Cyclical,505790,Automobile and Auto Components,0.07357065701411528,0.022508394834017263,0.046,1.251,0.38375,0.18582001,0.15332
PAGEIND.BO,Page Industries Limited,Consumer Cyclical,532827,Textiles,0.09305816678695929,0.020638498073050397,0.46,12.168,0.52709997,0.16683,0.18566
BALKRISIND.BO,Balkrishna Industries Limited,Consumer Cyclical,502355,Automobile and Auto Components,0.10516122719040609,0.02937895563856604,0.725,35.453,0.49063998,0.21087,0.16521999
BHARATFORG.BO,Bharat Forge Limited,Consumer Cyclical,500493,Capital Goods,0.1033650340152566,0.02251303847537401,1.025,106.843,0.50826,0.14365,0.1089
MRF.BO,MRF Limited,Consumer Cyclical,500290,Automobile and Auto Components,0.08330982336577922,0.018694261510671578,0.278,19.805,0.36551997,0.15159,0.12955
NYKAA.BO,FSN E-Commerce Ventures Limited,Consumer Cyclical,543384,Consumer Services,0.1316523841734486,-0.02013701556705476,0.196,68.509,0.43537,0.032420002,0.01725
UNOMINDA.BO,Uno Minda Limited,Consumer Cyclical,532539,Automobile and Auto Components,0.1605885112905764,0.05841025947076177,0.564,31.467,0.35832,0.110740006,0.06824
JUBLFOOD.BO,Jubilant FoodWorks Limited,Consumer Cyclical,533155,Consumer Services,0.10392655009836715,0.019708771119292173,0.288,124.941,0.5454,0.15864,0.098859996
SONACOMS.BO,Sona BLW Precision Forgings Limited,Consumer Cyclical,543300,Automobile and Auto Components,0.08885467195828163,0.011854294725917373,0.034,15.494,0.53254,0.26006,0.21154
MANYAVAR.BO,Vedant Fashions Limited,Consumer Cyclical,543463,Consumer Services,0.07861088061014888,0.01871952186953264,,27.489,0.72591,0.41008,0.27645
METROBRAND.BO,Metro Brands Limited,Consumer Cyclical,543426,Consumer Durables,0.09521148937559545,0.038130130553707585,,62.28,0.57798,0.24314,0.17673
MSUMI.BO,Motherson Sumi Wiring India Limited,Consumer Cyclical,543498,Automobile and Auto Components,0.06211480689427151,0.013369015537005913,,21.466,0.32706,0.10285,0.10099
SUNDRMFAST.BO,Sundram Fasteners Limited,Consumer Cyclical,500403,Automobile and Auto Components,0.10889420626875786,0.034427389992085736,0.658,18.33,0.55217,0.15373999,0.12397
ZFCVINDIA.BO,ZF Commercial Vehicle Control Systems India Limited,Consumer Cyclical,533023,Automobile and Auto Components,0.07620771325982596,0.020888904779903444,-0.069,2.464,0.36975,0.14019,0.11939
APOLLOTYRE.BO,Apollo Tyres Limited,Consumer Cyclical,500877,Automobile and Auto Components,0.10683594273103629,0.01812971023205488,0.874,42.616,0.40681,0.15195,0.12732
DEVYANI.BO,Devyani International Limited,Consumer Cyclical,543330,Consumer Services,0.08949534080240891,0.021263659581514972,-0.223,164.541,0.54854,0.1592,0.08309
RELAXO.BO,Relaxo Footwears Limited,Consumer Cyclical,530517,Consumer Durables,0.08684443106661051,0.027153720772854776,0.317,11.854,0.53565,0.12003,0.0763
ENDURANCE.BO,Endurance Technologies Limited,Consumer Cyclical,540153,Automobile and Auto Components,0.10057265714070693,0.01816900411210547,0.877,15.092,0.40355998,0.12303001,0.07855
EXIDEIND.BO,Exide Industries Limited,Consumer Cyclical,500086,Automobile and Auto Components,0.07252378336911401,0.012129235979050627,0.537,5.927,0.30701,0.10581,0.08181
KPRMILL.BO,K.P.R. Mill Limited,Consumer Cyclical,532889,Textiles,0.13246185393687554,0.047691793826789404,0.689,20.847,0.35206002,0.18818001,0.16679001
BATAINDIA.BO,Bata India Limited,Consumer Cyclical,500043,Consumer Durables,0.08309646683586304,0.014199633486428477,0.543,90.003,0.55956,0.16606002,0.12202
KALYANKJIL.BO,Kalyan Jewellers India Limited,Consumer Cyclical,543278,Consumer Durables,0.14064551834215144,0.061873479993314044,-0.076,113.632,0.14955,0.067779996,0.05589
ABFRL.BO,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,535755,Consumer Services,0.12669157782349832,0.01630859100480479,0.179,292.392,0.5248,0.02434,-0.02029
WHIRLPOOL.BO,Whirlpool of India Limited,Consumer Cyclical,500238,Consumer Durables,0.09415167086164808,0.021346176841079083,0.485,4.169,0.31323,0.05019,0.01577
CROMPTON.BO,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,539876,Consumer Durables,0.08693123932091663,0.011632464395395238,0.363,32.006,0.31395,0.09944,0.0799
CIEINDIA.BO,CIE Automotive India Limited,Consumer Cyclical,532756,Automobile and Auto Components,0.14347237871646654,0.029028239261432394,0.649,15.412,0.45156,0.1595,0.12593001
TRIDENT.BO,Trident Limited,Consumer Cyclical,521064,Textiles,0.14984827790526653,0.047119384556216226,0.548,40.094,0.48966998,0.15100001,0.08270001
RAJESHEXPO.BO,Rajesh Exports Limited,Consumer Cyclical,531500,Consumer Durables,0.12833713007588532,0.0205157243595454,0.344,4.117,0.00503,0.00379,0.00139
JBMA.BO,JBM Auto Limited,Consumer Cyclical,532605,Automobile and Auto Components,0.2029017191981342,0.06546500775860958,0.796,189.844,0.29467,0.114300005,0.07997
WESTLIFE.BO,Westlife Foodworld Limited,Consumer Cyclical,505533,Consumer Services,0.09969978124958988,0.011552019978645212,0.336,224.559,0.53421,0.14569001,0.08854
BAJAJELEC.BO,Bajaj Electricals Limited,Consumer Cyclical,500031,Consumer Durables,0.11104493019574954,0.019804806817879734,0.566,15.03,0.30351,0.05371,0.02675
EIHOTEL.BO,EIH Limited,Consumer Cyclical,500840,Consumer Services,0.11184013539385221,0.019197663287094237,0.379,5.503,0.66425,0.33813,0.23836
RAYMOND.BO,Raymond Limited,Consumer Cyclical,500330,Textiles,0.125660071393309,0.02451263678479838,0.549,81.513,0.41172,0.13089,0.11062
ASAHIINDIA.BO,Asahi India Glass Limited,Consumer Cyclical,515030,Automobile and Auto Components,0.10225920738829197,0.02728774304619495,0.414,71.142,0.60324,0.17661,0.12739
ALOKTEXT.BO,Alok Industries Limited,Consumer Cyclical,521070,Textiles,0.4378946276996703,0.06396378494516936,,,,,
WELSPUNIND.BO,Welspun India Limited,Consumer Cyclical,514162,Textiles,0.17323994112928848,0.043555728986733086,0.419,56.896,0.46011,0.13191,0.10451999
SFL.BO,Sheela Foam Limited,Consumer Cyclical,540203,Consumer Durables,0.09057578061479667,0.015624817827122406,0.293,19.96,0.36313,0.10381,0.07232
TTKPRESTIG.BO,TTK Prestige Limited,Consumer Cyclical,517506,Consumer Durables,0.0828723133772874,0.014238143215611294,0.278,8.255,0.39957002,0.10967,0.08898
CHALET.BO,Chalet Hotels Limited,Consumer Cyclical,542399,Consumer Services,0.1308914148282812,0.021063618099089475,0.266,176.181,0.69632006,0.39986,0.28925
VTL.BO,Vardhman Textiles Limited,Consumer Cyclical,502986,Textiles,0.10875275536775952,0.024447744770707498,0.488,16.974,0.35404,0.0959,0.0424
VIPIND.BO,V.I.P. Industries Limited,Consumer Cyclical,507880,Consumer Durables,0.1248133001163867,0.02811186777074223,0.435,73.983,0.52037,0.10944,0.05321
CEATLTD.BO,CEAT Limited,Consumer Cyclical,500878,Automobile and Auto Components,0.14395977006474853,0.026991508608376822,0.416,54.808,0.39063,0.11482,0.108610004
SHOPERSTOP.BO,Shoppers Stop Limited,Consumer Cyclical,532638,Consumer Services,0.11243968804716503,0.011790250234807436,0.178,1053.672,0.38901,0.10283,0.05074
CAMPUS.BO,Campus Activewear Limited,Consumer Cyclical,543523,Consumer Durables,0.1303966399206883,-0.0018425446666527653,,55.25,0.50665003,0.14783,0.02636
SAPPHIRE.BO,Sapphire Foods India Limited,Consumer Cyclical,543397,Consumer Services,0.09576034007960021,0.010303049580259094,-0.192,75.24,0.53049,0.13158,0.05969
AMBER.BO,Amber Enterprises India Limited,Consumer Cyclical,540902,Consumer Durables,0.10714748795476188,0.02157995705559758,-0.035,77.453,0.15887,0.06685,0.015470001
JINDWORLD.BO,Jindal Worldwide Limited,Consumer Cyclical,531543,Textiles,0.18525061077297678,0.04644486376701343,0.191,106.229,0.30843002,0.10421,0.06877
LEMONTREE.BO,Lemon Tree Hotels Limited,Consumer Cyclical,541233,Consumer Services,0.13263133199252197,0.01758318295980746,0.668,166.217,0.68959,0.49389,0.36174
SWANENERGY.BO,Swan Energy Limited,Consumer Cyclical,503310,Realty,0.1458894104494452,0.026874272862000174,-0.033,124.609,0.27985,0.23431998,0.18791
MINDACORP.BO,Minda Corporation Limited,Consumer Cyclical,538962,Automobile and Auto Components,0.1185445052302267,0.02093845038050415,0.79,40.754,0.35541,0.10226,0.07518
EASEMYTRIP.BO,Easy Trip Planners Limited,Consumer Cyclical,543272,Consumer Services,0.17422520090696098,0.05159516847708616,0.411,23.174,0.79434997,0.39241,0.53959
MHRIL.BO,Mahindra Holidays & Resorts India Limited,Consumer Cyclical,533088,Consumer Services,0.09656458760086735,0.016997753090104376,0.189,603.277,0.63488996,0.119440004,0.07969
MAHSCOOTER.BO,Maharashtra Scooters Ltd.,Consumer Cyclical,500266,Financial Services,0.1243006871478676,0.03437249599162304,0.554,,0.96345,0.90751,0.97025
GARFIBRES.BO,Garware Technical Fibres Limited,Consumer Cyclical,509557,Textiles,0.10296855564848834,0.0406395052278612,0.38,10.382,0.68958,0.18531,0.18966
VAIBHAVGBL.BO,Vaibhav Global Limited,Consumer Cyclical,532156,Consumer Durables,0.13189069559442979,0.016838122533946204,0.387,15.463,0.63428,0.06645,0.05797
EPL.BO,EPL Limited,Consumer Cyclical,500135,Capital Goods,0.1067945917727355,0.024120565745451093,0.703,45.686,0.54482,0.17297001,0.10682999
SYMPHONY.BO,Symphony Limited,Consumer Cyclical,517385,Consumer Durables,0.113134664951804,0.018009161400684433,0.383,27.46,0.44854,0.10163999,0.12364
BORORENEW.BO,Borosil Renewables Limited,Consumer Cyclical,502219,Capital Goods,1.0485833831255544,-0.01206256060815205,2.033,50.434,0.66113997,0.10107,0.00378
VARROC.BO,Varroc Engineering Limited,Consumer Cyclical,541578,Automobile and Auto Components,0.16753126354204645,0.003956767858698187,1.11,135.329,0.34792,0.08777001,0.057729997
RBA.BO,Restaurant Brands Asia Limited,Consumer Cyclical,543248,Consumer Services,0.08463380174707331,-0.0019901393786503005,-0.006,160.555,0.43153998,0.01432,-0.03584
ORIENTELEC.BO,Orient Electric Limited,Consumer Cyclical,541301,Consumer Durables,0.10425226963711456,0.01367042451418488,0.088,20.139,0.29292,0.05235,0.01145
LAOPALA.BO,La Opala RG Limited,Consumer Cyclical,526947,Consumer Durables,0.11117985193644662,0.0215999995090983,0.475,1.237,0.86087996,0.38069,0.32192
DELTACORP.BO,Delta Corp Limited,Consumer Cyclical,532848,Consumer Services,0.15578193534095136,0.015016054468294878,0.78,3.015,0.63308,0.32669,0.30722
VMART.BO,V-Mart Retail Limited,Consumer Cyclical,534976,Consumer Services,0.12014808769215128,0.023803733074848562,0.586,185.999,0.33325002,0.02248,-0.09559
JAMNAAUTO.BO,Jamna Auto Industries Limited,Consumer Cyclical,520051,Automobile and Auto Components,0.12629042912461116,0.0360605644916949,0.742,8.283,0.33987,0.12189999,0.11228
IFBIND.BO,IFB Industries Limited,Consumer Cyclical,505726,Consumer Durables,0.16167157220353173,0.03459598624457257,1.165,41.413,0.39618,0.030669998,0.0364
UFLEX.BO,Uflex Limited,Consumer Cyclical,500148,Capital Goods,0.12560170835291046,0.024308536825666704,0.63,89.044,0.35944998,0.10988,0.0674
