symbol,name,sector,bse_security_code,bse_industry,risk,return,beta,debtToEquity,grossMargins,ebitdaMargins,operatingMargins
ASIANPAINT.BO,Asian Paints Limited,Basic Materials,500820,Consumer Durables,0.07044825733801323,0.01923428419173264,0.253,13.545,0.41291,0.20191,0.1778
ULTRACEMCO.BO,UltraTech Cement Limited,Basic Materials,532538,Construction Materials,0.0760113284142487,0.018012470645194727,0.395,20.389,0.55395,0.16315001,0.10948
JSWSTEEL.BO,JSW Steel Limited,Basic Materials,500228,Metals & Mining,0.1064295518530686,0.027030508787191477,0.994,108.609,0.4121,0.1684,0.13159001
TATASTEEL.BO,Tata Steel Limited,Basic Materials,500470,Metals & Mining,0.12000956441536285,0.02702988188352758,1.226,98.811,0.49576,0.07667,0.03211
HINDZINC.BO,Hindustan Zinc Limited,Basic Materials,500188,Metals & Mining,0.07639715741449914,0.013824160771935544,0.689,89.176,0.698,0.48293,0.3496
PIDILITIND.BO,Pidilite Industries Limited,Basic Materials,500331,Chemicals,0.06715208466465244,0.021492030784217044,0.19,5.368,0.46787,0.19264999,0.19652
GRASIM.BO,Grasim Industries Limited,Basic Materials,500300,Construction Materials,0.09429704611101948,0.01981717159978432,0.474,93.151,0.56649,0.18635,0.15908
HINDALCO.BO,Hindalco Industries Limited,Basic Materials,500440,Metals & Mining,0.12775975958857025,0.02199308100020665,1.311,64.833,0.2909,0.09486,0.069970004
AMBUJACEM.BO,Ambuja Cements Limited,Basic Materials,500425,Construction Materials,0.08722449673275992,0.014208655286060351,0.039,1.849,0.56845003,0.16099001,0.12405
VEDL.BO,Vedanta Limited,Basic Materials,500295,Metals & Mining,0.13712941609800677,0.01380273213664705,1.358,178.783,0.48132,0.24854,0.22926001
SHREECEM.BO,Shree Cement Limited,Basic Materials,500387,Construction Materials,0.07966638151622722,0.019177324183781853,0.316,10.262,0.56575,0.17518,0.09882
JINDALSTEL.BO,Jindal Steel & Power Limited,Basic Materials,532286,Metals & Mining,0.16038879489920552,0.02183465256620821,1.211,32.2,0.53154,0.18183,0.1373
BERGEPAINT.BO,Berger Paints India Limited,Basic Materials,509480,Consumer Durables,0.07557450153085668,0.022523347071159227,0.264,23.792,0.37675998,0.15536,0.14121
SRF.BO,SRF Limited,Basic Materials,503806,Chemicals,0.1333090891934925,0.045278574078750765,0.508,45.855,0.48417,0.221,0.15236
PIIND.BO,PI Industries Limited,Basic Materials,523642,Chemicals,0.08793082476902421,0.026590477419949868,0.585,2.266,0.46305,0.24336,0.22253999
UPL.BO,UPL Limited,Basic Materials,512070,Chemicals,0.10418107314791891,0.019201100685537837,0.958,102.051,0.47358,0.16118,0.090270005
APLAPOLLO.BO,APL Apollo Tubes Limited,Basic Materials,533758,Capital Goods,0.11715316586669827,0.05088392367690532,0.748,35.864,0.13758999,0.06838,0.06126
LINDEINDIA.BO,Linde India Limited,Basic Materials,523457,Chemicals,0.12890511195148982,0.03297809206998145,0.026,0.665,0.43980998,0.24861999,0.17413999
SAIL.BO,Steel Authority of India Limited,Basic Materials,500113,Metals & Mining,0.14882758245958058,0.015433242427734344,1.556,54.828,0.44833001,0.10406999,0.08578
